phase,path,check,expected,actual,status,notes
raw,results/raw/oracle_ivqr.csv,sha256,44ff5b1030e1a80386e62b840be9f842c2229f43e630000cc9e52567ac84be36,44ff5b1030e1a80386e62b840be9f842c2229f43e630000cc9e52567ac84be36,pass,canonical immutable artifact contract
raw,results/raw/oracle_ivqr.csv,bytes,22624466,22624466,pass,canonical immutable artifact contract
raw,results/raw/oracle_ivqr.csv,rows,72000,72000,pass,canonical immutable artifact contract
raw,results/raw/oracle_ivqr.csv,columns,43,43,pass,canonical immutable artifact contract
raw,results/raw/post_selection_ivqr.csv,sha256,7c9b914a8d5cf7cc7c3b9bda3458641de4f62bdfcf1644793871555275bfedd8,7c9b914a8d5cf7cc7c3b9bda3458641de4f62bdfcf1644793871555275bfedd8,pass,canonical immutable artifact contract
raw,results/raw/post_selection_ivqr.csv,bytes,30818201,30818201,pass,canonical immutable artifact contract
raw,results/raw/post_selection_ivqr.csv,rows,72000,72000,pass,canonical immutable artifact contract
raw,results/raw/post_selection_ivqr.csv,columns,52,52,pass,canonical immutable artifact contract
raw,results/raw/dml_ivqr.csv,sha256,27d3c514e7a608083647c9485e1ba4d73267cdf80753e3bae8c22a4ee4c5f803,27d3c514e7a608083647c9485e1ba4d73267cdf80753e3bae8c22a4ee4c5f803,pass,canonical immutable artifact contract
raw,results/raw/dml_ivqr.csv,bytes,9160449,9160449,pass,canonical immutable artifact contract
raw,results/raw/dml_ivqr.csv,rows,72000,72000,pass,canonical immutable artifact contract
raw,results/raw/dml_ivqr.csv,columns,15,15,pass,canonical immutable artifact contract
raw,results/raw/manifest.json,sha256,bb9c0dfddc36e1d44be4749f7d1093313ce12040eab4754d5fa41ad42960b4c5,bb9c0dfddc36e1d44be4749f7d1093313ce12040eab4754d5fa41ad42960b4c5,pass,canonical immutable artifact contract
raw,results/raw/manifest.json,bytes,7340,7340,pass,canonical immutable artifact contract
phase1,results/validation/r500_audit/audit_report.md,sha256,9bfa785904bc03b5b9792c986270a34abec6766de27d946c5daff87fb9e17ddc,9bfa785904bc03b5b9792c986270a34abec6766de27d946c5daff87fb9e17ddc,pass,baseline authority: git HEAD / Phase 1
phase1,results/validation/r500_audit/comparison_checks.csv,sha256,2335b8833c413a792033a305cc5fae07caecf33fbd3510f926c120c574fe38dd,2335b8833c413a792033a305cc5fae07caecf33fbd3510f926c120c574fe38dd,pass,baseline authority: git HEAD / Phase 1
phase1,results/validation/r500_audit/diagnostic_summary.csv,sha256,4a162ffa868645faa273e8b23b852eec8b712aaf4fb650563cf917c3df2f64c7,4a162ffa868645faa273e8b23b852eec8b712aaf4fb650563cf917c3df2f64c7,pass,baseline authority: git HEAD / Phase 1
phase1,results/validation/r500_audit/estimator_summary.csv,sha256,cfe33284157974b792f7d55fb1ca63a2c527bcb8923b84371653f9641df5be07,cfe33284157974b792f7d55fb1ca63a2c527bcb8923b84371653f9641df5be07,pass,baseline authority: git HEAD / Phase 1
phase1,results/validation/r500_audit/monotonicity_checks.csv,sha256,a6135fcfac6b2673e092501ff18c53a1c0c360df2f3ad52eb2011230784edb18,a6135fcfac6b2673e092501ff18c53a1c0c360df2f3ad52eb2011230784edb18,pass,baseline authority: git HEAD / Phase 1
phase1,results/validation/r500_audit/scenario_summary.csv,sha256,fda31b8f55a395ab4e757bbcc527eb05161d08d64a413eb5d361fef95fd9f770,fda31b8f55a395ab4e757bbcc527eb05161d08d64a413eb5d361fef95fd9f770,pass,baseline authority: git HEAD / Phase 1
phase1,results/validation/r500_audit/structural_validation.json,sha256,080bfb57216f7ad9e83848e5efac7fb6208ee0e37b55396cc2323edb03e2f26a,080bfb57216f7ad9e83848e5efac7fb6208ee0e37b55396cc2323edb03e2f26a,pass,baseline authority: git HEAD / Phase 1
phase1,results/validation/r500_audit/worst_scenarios.csv,sha256,69084c577bb5f3a0d4f7513e73116182331134dd93ab42d986a949a02d12e016,69084c577bb5f3a0d4f7513e73116182331134dd93ab42d986a949a02d12e016,pass,baseline authority: git HEAD / Phase 1
phase2,results/validation/r500_phase2/classification_rules.json,sha256,9b8c306f2b9ccb82cecb632f9fc4494b3368fbc486c428e1f9e502019f19bcf6,9b8c306f2b9ccb82cecb632f9fc4494b3368fbc486c428e1f9e502019f19bcf6,pass,baseline authority: git HEAD / Phase 2
phase2,results/validation/r500_phase2/coverage_discordance.csv,sha256,3a7b4e661ee9c1b8b8f989802649c67bc4fa0647f602b9ccb71b835a2ce7dd9d,3a7b4e661ee9c1b8b8f989802649c67bc4fa0647f602b9ccb71b835a2ce7dd9d,pass,baseline authority: git HEAD / Phase 2
phase2,results/validation/r500_phase2/coverage_uncertainty.csv,sha256,7a7316d2d88fd1b56b7a6bee1aea862f43dc9265c116af4262d755bab4334b57,7a7316d2d88fd1b56b7a6bee1aea862f43dc9265c116af4262d755bab4334b57,pass,baseline authority: git HEAD / Phase 2
phase2,results/validation/r500_phase2/estimator_classification.csv,sha256,72962dd8948a9073e2ddbbc1cddd3c884b5c27f5f312e9d42323b26b666d139b,72962dd8948a9073e2ddbbc1cddd3c884b5c27f5f312e9d42323b26b666d139b,pass,baseline authority: git HEAD / Phase 2
phase2,results/validation/r500_phase2/exception_rows.csv,sha256,e197a3cee9b76689772ef0f932936e56033db45e7fe716d28f4428a67185f030,e197a3cee9b76689772ef0f932936e56033db45e7fe716d28f4428a67185f030,pass,baseline authority: git HEAD / Phase 2
phase2,results/validation/r500_phase2/exception_scenario_summary.csv,sha256,5f142e906ca4ddf13c7a9b7d6281dcded00b356a104337bbf6ef7771f3cbdc1e,5f142e906ca4ddf13c7a9b7d6281dcded00b356a104337bbf6ef7771f3cbdc1e,pass,baseline authority: git HEAD / Phase 2
